CUSTID,DATE,PRODUCTID,大分類,中分類,数量,単価,小計
100004,2021-01-16,9910070,"バッグ","バッグ08",1,3450,3450
100004,2021-01-16,9905063,"靴","靴06",10,1285,12850
100004,2021-05-14,9903627,"化粧品","化粧品03",1,4076,4076
100004,2021-05-14,9905277,"食品","食品12",30,340,10200
100004,2021-05-14,9902455,"婦人服","婦人服03",1,1314,1314
100004,2021-05-14,9901250,"インナーウエア","インナーウエア07",1,2387,2387
100004,2021-05-14,9902647,"婦人服","婦人服03",1,1980,1980
100004,2021-05-14,9903924,"婦人服","婦人服03",2,1230,2460
100004,2021-05-14,9900208,"婦人服","婦人服03",1,1980,1980
100004,2021-06-25,9910983,"靴","靴06",2,11500,23000
100004,2021-06-25,9912251,"靴","靴06",1,8800,8800
100004,2021-06-25,9901537,"インナーウエア","インナーウエア07",2,3133,6266
100004,2021-06-25,9915636,"バッグ","バッグ09",2,1369,2738
100004,2021-06-25,9900208,"婦人服","婦人服03",2,1980,3960
100004,2021-07-03,9904149,"食品","食品12",1,1500,1500
100004,2021-07-03,9900023,"化粧品","化粧品07",1,1311,1311
100004,2021-07-03,9902646,"婦人服","婦人服03",1,1380,1380
100004,2021-07-03,9903632,"インナーウエア","インナーウエア06",3,1076,3228
100004,2021-07-03,9912183,"バッグ","バッグ06",2,2077,4154
100004,2021-09-11,9900200,"インナーウエア","インナーウエア06",3,700,2100
100004,2021-09-11,9902475,"化粧品","化粧品03",1,3200,3200
100004,2021-09-11,9901537,"インナーウエア","インナーウエア07",2,3133,6266
100004,2021-09-11,9900189,"化粧品","化粧品05",20,298,5960
