顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140054,2025-10-01,"飲料・お酒","清涼飲料",9901830,1,590,590
140064,2025-10-01,"飲料・お酒","清涼飲料",9900200,3,700,2100
140064,2025-10-01,"パン・デザート","プリン",9907651,1,220,220
140064,2025-10-01,"コンビニウェア・日用品","靴下",9900171,1,159,159
140122,2025-10-01,"飲料・お酒","ワイン",9919051,1,516,516
140127,2025-10-01,"お弁当・おむすび","ドリア",9901925,1,304,304
140127,2025-10-01,"お弁当・おむすび","ボリューム丼",9922733,1,289,289
140127,2025-10-01,"日配品・冷凍食品","カップアイス",9912054,4,735,2940
140130,2025-10-01,"お弁当・おむすび","惣菜おにぎり",9933958,1,940,940
140138,2025-10-01,"お弁当・おむすび","定番弁当",9901423,3,172,516
140138,2025-10-01,"お弁当・おむすび","定番弁当",9913455,3,228,684
140138,2025-10-01,"パン・デザート","シュークリーム",9900217,1,698,698
140138,2025-10-01,"日配品・冷凍食品","カップアイス",9902321,2,300,600
140186,2025-10-01,"パン・デザート","シュークリーム",9903818,1,150,150
140240,2025-10-01,"コンビニウェア・日用品","靴下",9900364,1,890,890
140253,2025-10-01,"飲料・お酒","清涼飲料",9901155,2,169,338
140331,2025-10-01,"パン・デザート","パフェ",9900449,4,285,1140
140360,2025-10-01,"お弁当・おむすび","こだわり弁当",9902444,1,279,279
140360,2025-10-01,"お弁当・おむすび","こだわり弁当",9909099,1,357,357
140406,2025-10-01,"パン・デザート","ホットドッグ",9904868,1,450,450
140406,2025-10-01,"コンビニウェア・日用品","除菌グッズ",9900985,1,285,285
140406,2025-10-01,"コンビニウェア・日用品","靴下",9913861,2,127,254
140513,2025-10-01,"飲料・お酒","清涼飲料",9900352,1,280,280
140513,2025-10-01,"日配品・冷凍食品","カップアイス",9902289,4,320,1280
140559,2025-10-01,"パン・デザート","パフェ",9902991,1,198,198
140568,2025-10-01,"日配品・冷凍食品","カップアイス",9904376,1,340,340
140587,2025-10-01,"飲料・お酒","ワイン",9928629,1,192,192
140587,2025-10-01,"飲料・お酒","ワイン",9938482,1,200,200
140587,2025-10-01,"コンビニウェア・日用品","靴下",9900369,1,270,270
140609,2025-10-01,"コーヒー","アイスコーヒー",9900236,1,128,128
140616,2025-10-01,"パン・デザート","シュークリーム",9900227,2,820,1640
140616,2025-10-01,"コーヒー","アイスコーヒー",9901187,1,300,300
140616,2025-10-01,"コンビニウェア・日用品","靴下",9911138,3,277,831
140682,2025-10-01,"飲料・お酒","清涼飲料",9909747,1,680,680
140682,2025-10-01,"飲料・お酒","チューハイ",9900636,2,810,1620
140682,2025-10-01,"コンビニウェア・日用品","靴下",9900208,5,178,890
140733,2025-10-01,"飲料・お酒","清涼飲料",9904627,1,316,316
