取引日,取引時刻,店舗ID,レジID,取引番号,行番号,商品コード,商品名,カテゴリ,数量,本体単価(税抜),割引額,税率,税額,小計(税抜),小計(税込)
2025-12-22,00:00:24,"TOKYO001","R02","T001865",1,"SKU00207","ミネラルウォーター 500ml","飲料",1,141,0,0.080,11,141,152
2025-12-22,00:00:24,"TOKYO001","R02","T001865",2,"SKU02236","キッチンペーパー 200ml","日用品",1,784,0,0.100,78,784,862
2025-12-22,00:00:29,"TOKYO001","R05","T001193",1,"SKU01346","チョココロネ 2個入り","ベーカリー",1,220,0,0.080,18,220,238
2025-12-22,00:00:29,"TOKYO001","R05","T001193",2,"SKU02624","カップ焼きそば 200ml","即席麺",1,267,0,0.080,21,267,288
2025-12-22,00:01:31,"TOKYO001","R05","T003090",1,"SKU02603","ライト (大)","たばこ",1,713,0,0.100,71,713,784
2025-12-22,00:02:19,"TOKYO001","R06","T002014",1,"SKU00665","スポーツドリンク 1000ml","飲料",1,154,23,0.080,10,131,141
2025-12-22,00:03:21,"TOKYO001","R08","T003226",1,"SKU02494","高菜おにぎり 500ml","おにぎり",1,116,0,0.080,9,116,125
2025-12-22,00:03:21,"TOKYO001","R08","T003226",2,"SKU02217","ワイン ハーフ","酒類",1,581,29,0.100,55,552,607
2025-12-22,00:03:21,"TOKYO001","R08","T003226",3,"SKU00360","アイスバー (大)","アイスクリーム",1,145,0,0.080,12,145,157
2025-12-22,00:04:23,"TOKYO001","R02","T003713",1,"SKU01084","フライドポテト (小)","ホットスナック",1,168,0,0.080,13,168,181
2025-12-22,00:05:21,"TOKYO001","R04","T000031",1,"SKU00628","メンソール (小)","たばこ",1,642,0,0.100,64,642,706
2025-12-22,00:05:45,"TOKYO001","R03","T000718",1,"SKU01140","スポンジ 1個","日用品",1,778,0,0.100,78,778,856
2025-12-22,00:07:44,"TOKYO001","R08","T004546",1,"SKU00051","カフェオレ","コーヒー",1,108,0,0.080,9,108,117
2025-12-22,00:07:44,"TOKYO001","R08","T004546",2,"SKU00745","チョコスナック 1個","スナック菓子",2,174,0,0.080,28,348,376
2025-12-22,00:07:44,"TOKYO001","R08","T004546",3,"SKU00501","月刊誌 (小)","雑誌・書籍",1,369,0,0.100,37,369,406
2025-12-22,00:07:44,"TOKYO001","R08","T004546",4,"SKU00170","ティッシュ 2個入り","日用品",1,728,0,0.100,73,728,801
2025-12-22,00:07:48,"TOKYO001","R03","T001211",1,"SKU01212","クロワッサン 2個入り","ベーカリー",1,144,0,0.080,12,144,156
2025-12-22,00:07:48,"TOKYO001","R03","T001211",2,"SKU02688","梅おにぎり (大)","おにぎり",1,188,0,0.080,15,188,203
2025-12-22,00:07:51,"TOKYO001","R05","T000546",1,"SKU01470","日本酒 小瓶 500ml","酒類",1,906,0,0.100,91,906,997
2025-12-22,00:07:51,"TOKYO001","R05","T000546",2,"SKU00248","カフェオレ 200ml","コーヒー",1,114,0,0.080,9,114,123
2025-12-22,00:07:51,"TOKYO001","R05","T000546",3,"SKU01106","せんべい 1000ml","スナック菓子",1,153,0,0.080,12,153,165
2025-12-22,00:07:51,"TOKYO001","R05","T000546",4,"SKU00003","ライト (大)","たばこ",1,715,0,0.100,72,715,787
2025-12-22,00:08:54,"TOKYO001","R07","T004614",1,"SKU01254","ミネラルウォーター (小)","飲料",1,102,0,0.080,8,102,110
2025-12-22,00:08:54,"TOKYO001","R07","T004614",2,"SKU00774","明太子おにぎり 2個入り","おにぎり",1,131,0,0.080,10,131,141
2025-12-22,00:08:54,"TOKYO001","R07","T004614",3,"SKU02482","コロッケ 1000ml","ホットスナック",3,339,153,0.080,69,864,933
