CaseNo,大規模,小規模,特注品,利便性,原価物,簡易性,完成品,特価品,新商品,安全性,価格帯,数量性,複合物,国内品,輸入品,郷土品,油分量,糖分量
1,3,0.987,27,0,17,5,14,41,3,0,8,1,1.000,23.000,12.000,0.000,0.000,6.387
2,3,2.490,17,1,5,1,9,11,0,5,9,0,3.000,11.000,4.000,0.000,0.000,5.000
3,2,1.000,29,2,15,6,18,54,1,5,13,0,0.000,15.000,11.000,5.000,1.000,2.000
4,4,0.740,11,2,4,5,11,14,2,1,0,1,0.000,12.000,0.000,3.000,0.000,0.000
5,13,0.000,54,14,44,2,27,66,2,15,15,4,3.000,25.000,16.000,4.000,3.000,6.000
6,3,2.000,19,1,16,2,12,26,0,12,4,3,0.000,10.000,5.000,1.000,0.000,0.000
7,13,4.000,81,16,78,17,59,133,14,31,33,6,0.000,71.000,23.000,3.000,4.000,28.000
8,5,3.324,17,1,8,4,36,39,3,6,4,2,1.000,32.000,11.000,1.000,2.000,5.000
9,0,0.000,13,1,15,2,6,24,0,1,3,0,0.000,12.000,1.000,3.000,0.000,2.000
10,14,4.758,72,2,62,6,39,76,1,15,23,8,1.000,47.000,14.000,1.000,1.000,4.000
11,0,2.013,41,2,11,0,29,57,0,0,6,3,0.000,21.000,9.000,3.000,0.000,5.000
12,3,4.000,18,3,15,1,22,38,1,2,2,5,0.000,19.000,5.000,2.000,1.000,3.000
13,4,0.000,21,4,23,5,15,28,0,3,7,1,1.096,14.867,6.250,2.813,2.840,3.229
14,4,5.000,19,7,36,8,18,38,2,4,4,5,0.633,18.461,5.782,3.205,0.729,1.580
15,2,2.000,21,1,13,4,16,23,1,7,5,0,1.000,12.000,10.000,3.000,0.000,2.000
16,9,3.000,40,5,52,10,24,71,0,4,9,9,0.000,33.000,5.000,3.000,2.000,0.000
17,5,4.000,16,3,33,4,24,31,1,11,5,3,0.000,21.000,4.000,9.000,0.000,0.000
18,1,3.000,49,2,35,10,39,57,4,8,14,2,3.985,34.347,15.766,6.327,4.637,7.814
19,3,2.228,21,0,15,2,16,25,4,4,7,0,0.000,19.000,10.000,1.000,0.000,3.000
20,2,3.000,18,1,10,3,36,26,8,0,3,4,0.000,40.000,2.000,1.000,0.000,5.000
21,5,2.000,27,1,43,8,16,53,2,14,7,6,0.000,17.000,16.000,3.000,1.000,7.000
22,2,0.000,18,3,14,1,17,37,0,7,5,2,2.000,16.000,8.000,4.000,0.000,3.000
23,6,7.000,54,4,72,1,30,79,4,14,22,8,5.000,28.000,15.000,2.000,0.000,14.000
24,1,3.585,40,1,13,9,33,45,3,3,19,2,1.000,46.000,19.000,1.000,0.000,9.447
25,6,-0.794,15,5,42,0,8,26,0,14,4,3,0.000,9.000,3.000,0.000,0.000,0.000
26,2,0.000,24,4,22,2,13,21,1,5,11,0,0.696,12.374,8.724,1.801,1.163,7.939
27,6,2.000,19,2,40,5,3,31,0,8,5,2,0.000,10.000,0.000,0.000,0.000,0.000
28,4,4.000,23,2,52,4,20,45,0,13,10,8,0.000,22.000,2.000,0.000,1.000,0.000
29,5,1.000,14,1,14,6,7,28,1,0,11,6,0.000,10.000,6.000,2.000,0.000,3.000
30,0,2.000,17,0,8,1,3,10,1,2,3,1,0.000,2.000,4.000,0.000,1.000,1.000
31,3,0.103,9,2,32,3,1,21,0,10,7,0,1.000,7.000,1.000,0.000,0.000,2.000
32,5,3.000,18,5,18,7,19,24,1,4,5,1,0.000,13.000,6.000,6.000,4.000,3.000
33,3,3.000,10,0,30,3,4,28,0,7,7,0,0.000,10.000,11.000,3.000,0.000,2.000
34,1,2.000,24,0,28,4,21,46,1,8,16,3,1.000,27.000,6.000,1.000,0.000,9.000
35,0,0.000,5,0,9,7,5,10,2,4,1,2,-0.551,4.817,1.162,1.719,-1.024,2.498
36,10,-0.317,14,6,52,2,13,40,2,12,14,2,1.000,16.000,4.000,2.000,3.000,4.441
37,1,0.000,4,1,4,1,0,6,0,2,0,0,0.000,3.000,1.000,0.000,0.000,0.000
38,2,9.000,52,2,37,1,28,63,4,16,11,6,3.842,27.213,15.278,4.454,4.749,9.686
39,1,3.000,21,8,41,5,15,29,6,10,12,1,3.000,10.000,16.000,2.000,1.000,2.000
40,9,1.000,21,2,26,3,10,36,1,3,14,5,2.000,16.000,14.000,0.000,1.000,7.000
41,2,11.000,33,6,40,1,19,40,1,14,12,4,3.239,17.929,9.914,2.714,3.776,4.869
42,7,0.998,28,0,24,1,13,34,2,10,12,1,1.000,19.000,7.000,2.000,0.000,8.000
43,3,2.837,22,0,15,6,10,20,0,5,11,1,0.000,15.000,4.000,1.000,0.000,3.000
44,1,0.000,8,1,21,1,12,17,3,4,4,3,0.000,12.000,4.000,2.000,0.000,3.000
45,4,0.000,23,3,31,0,17,44,0,2,8,2,0.000,12.000,10.000,3.000,1.000,7.000
46,6,0.881,20,0,67,2,5,48,3,13,13,10,0.000,10.000,1.000,1.000,0.000,2.000
47,2,-0.189,21,7,25,7,12,38,3,7,0,3,1.000,22.000,5.000,5.000,0.000,3.303
48,4,0.000,12,1,10,4,5,15,1,5,2,1,-0.353,6.909,1.522,1.510,0.391,2.810
49,10,2.640,36,6,40,3,41,63,2,17,11,6,0.000,38.000,9.000,3.000,0.000,3.000
50,6,4.000,48,5,87,9,29,77,1,20,25,5,0.000,29.000,26.000,2.000,5.000,0.000
51,5,2.000,39,0,35,6,28,60,3,7,13,4,3.131,26.243,13.621,4.130,3.738,8.699
52,2,2.000,26,6,22,6,27,33,4,8,5,6,0.000,20.000,12.000,7.000,7.000,9.000
53,11,1.000,33,0,26,7,27,39,1,5,10,3,1.000,28.000,9.000,4.000,0.000,0.000
54,3,2.000,21,5,40,3,19,60,1,11,6,5,0.000,14.000,7.000,4.000,0.000,1.000
55,5,5.064,47,1,43,13,39,74,13,5,26,6,1.000,51.000,22.000,5.000,0.000,12.060
56,3,4.000,17,0,22,1,8,23,1,6,7,1,0.000,6.000,9.000,0.000,1.000,6.000
57,5,0.000,16,2,31,5,4,26,1,9,7,3,-0.458,8.725,2.718,0.552,-0.203,2.727
58,2,1.877,18,1,13,6,9,24,0,8,5,2,0.000,14.000,2.000,4.000,0.000,2.027
59,0,1.658,19,1,12,1,22,11,2,3,1,0,0.000,20.000,5.000,1.000,0.000,3.944
60,0,1.000,23,2,13,7,12,30,2,5,5,3,0.305,16.527,6.059,1.773,1.251,5.816
61,5,1.000,46,1,31,5,13,34,0,9,20,2,2.083,11.756,14.354,1.898,1.879,7.541
62,4,4.189,46,2,28,4,21,45,3,12,16,1,3.000,23.000,13.000,1.000,1.000,11.411
63,3,1.000,18,1,19,5,9,25,2,1,9,1,1.000,14.000,2.000,1.000,1.000,3.000
64,5,2.000,41,1,32,1,24,57,1,14,6,3,2.549,22.057,11.059,4.300,3.514,6.814
65,3,1.000,10,1,7,6,14,31,1,0,3,7,1.956,16.221,4.953,3.051,3.453,5.560
66,1,0.000,15,2,18,4,15,20,1,0,4,0,0.022,10.885,4.335,2.654,0.996,2.980
67,0,2.790,16,0,11,6,9,23,0,4,4,0,0.000,11.000,5.000,3.000,0.000,3.000
68,4,2.620,42,16,53,5,39,52,4,14,7,5,0.000,42.000,7.000,2.000,3.000,4.345
69,10,2.000,30,6,43,3,13,30,2,17,4,2,0.000,24.000,5.000,2.000,0.000,5.000
70,0,2.000,30,1,11,7,13,23,1,10,10,1,0.000,19.000,8.000,2.000,1.000,2.000
71,4,8.000,48,1,31,4,31,46,2,10,12,4,0.000,33.000,14.000,5.000,5.000,23.000
72,3,2.437,32,0,26,4,10,39,1,7,11,1,0.000,21.000,7.000,1.000,0.000,7.000
73,5,0.000,19,1,15,6,4,28,2,6,11,0,0.000,14.000,5.000,2.000,0.000,10.000
74,1,6.000,15,1,14,2,16,17,4,7,2,1,0.000,18.000,13.000,1.000,0.000,11.000
75,2,1.000,21,6,27,9,16,40,1,3,9,3,2.137,19.002,7.091,2.662,1.822,6.249
76,4,5.000,33,6,22,1,34,34,3,8,13,3,1.708,23.914,11.456,4.246,2.334,7.141
77,1,2.144,30,8,46,4,23,39,4,15,10,2,0.000,23.000,11.000,5.000,0.000,8.000
78,4,3.003,26,2,20,8,16,35,2,5,10,5,0.000,23.000,16.000,3.000,1.000,7.927
79,7,0.000,23,5,24,8,18,28,4,9,13,0,2.005,16.893,10.798,2.285,2.453,7.299
80,5,3.000,37,1,22,3,28,59,5,3,28,2,2.000,25.000,19.000,5.000,2.000,20.000
81,1,2.899,29,3,47,2,18,41,3,11,8,3,1.000,17.000,10.000,2.000,0.000,8.000
82,10,1.602,17,8,46,9,10,49,0,7,10,7,0.000,18.000,2.000,1.000,3.000,1.969
83,1,0.000,16,5,11,7,12,22,1,1,8,1,1.937,10.225,6.115,2.044,1.812,5.448
84,7,2.000,19,3,23,3,11,30,5,7,9,1,0.000,7.000,10.000,2.000,0.000,7.000
85,13,2.000,62,9,43,26,38,72,3,3,19,9,2.000,45.000,22.000,4.000,14.000,12.000
86,7,2.000,32,3,19,6,20,46,2,1,7,2,1.905,20.518,7.755,3.337,2.736,5.856
87,8,0.000,27,3,60,0,18,39,3,18,13,3,-0.781,14.251,6.988,2.405,0.762,3.755
88,8,5.000,14,2,42,4,18,30,4,10,7,3,0.000,22.000,7.000,1.000,0.000,4.000
89,15,0.000,27,6,60,11,24,72,0,10,11,9,3.000,27.000,10.000,3.000,3.000,4.000
90,4,1.597,33,3,34,6,29,40,1,6,6,2,0.000,27.000,5.000,3.000,2.000,2.770
91,6,1.000,30,7,34,4,11,45,1,3,7,6,2.000,16.000,13.000,0.000,3.000,0.000
92,8,1.000,43,2,40,3,23,55,3,12,10,6,0.000,23.000,16.000,2.000,1.000,8.000
93,1,17.000,36,6,31,1,42,38,8,3,13,1,3.460,32.499,16.802,5.611,5.627,8.331
94,3,1.917,23,2,18,3,11,18,1,9,11,3,0.000,6.000,18.000,4.000,3.000,3.000
95,1,9.000,79,2,65,2,42,63,2,15,46,0,0.000,34.000,26.000,9.000,2.000,17.000
96,6,2.029,32,4,30,8,23,53,1,9,8,3,5.000,24.000,11.000,7.000,7.000,7.206
97,3,3.486,43,2,13,11,40,50,1,4,17,6,1.000,36.000,8.000,6.000,5.000,7.000
98,2,0.000,15,0,7,2,9,14,1,5,6,3,1.837,8.060,5.553,1.215,2.138,6.350
99,0,2.337,29,1,11,0,11,23,0,0,11,0,0.000,17.000,7.000,2.000,0.000,10.000
100,1,3.000,27,7,13,3,16,37,1,1,9,0,0.000,16.000,10.000,2.000,0.000,5.000
101,4,2.311,23,2,42,8,20,45,1,12,8,3,0.000,23.000,4.000,4.000,1.000,2.235
102,3,7.000,29,2,31,5,40,48,11,6,6,3,1.000,36.000,16.000,3.000,3.000,15.000
103,11,3.000,28,2,41,6,12,47,1,12,8,4,1.621,15.817,9.619,3.027,2.946,4.457
104,4,0.000,21,2,15,1,7,25,0,1,2,1,0.219,8.227,5.013,2.487,0.726,3.910
105,9,2.737,29,9,69,9,32,60,6,9,34,7,0.000,42.000,5.000,6.000,0.000,4.472
106,3,0.000,24,2,16,1,8,16,0,5,7,3,0.000,12.000,3.000,0.000,0.000,0.000
107,6,3.000,24,1,26,5,10,34,0,9,8,4,0.000,15.000,10.000,3.000,1.000,5.000
108,2,1.000,32,1,28,3,11,19,1,15,11,0,1.811,12.058,6.434,1.297,1.084,4.704
109,3,2.198,27,0,14,1,9,27,4,7,11,1,0.000,11.000,3.000,1.000,0.000,8.000
110,11,0.000,35,3,38,7,24,49,1,12,9,4,0.000,25.000,10.000,4.000,1.000,3.000
111,0,2.000,19,5,13,1,6,11,0,3,0,1,0.000,9.000,0.000,0.000,0.000,0.000
112,12,1.445,29,0,48,7,17,46,3,25,10,3,3.000,25.000,4.000,0.000,4.000,5.000
113,1,2.000,12,1,13,1,14,14,0,3,5,0,0.000,8.000,5.000,3.000,3.000,0.000
114,2,2.784,17,2,18,1,12,28,3,5,2,0,2.000,13.000,8.000,1.000,1.000,2.865
115,3,1.000,23,1,21,4,13,27,0,7,5,3,0.000,14.000,9.000,2.000,2.000,0.000
116,3,1.000,18,3,46,6,5,32,0,8,9,3,0.000,9.000,8.000,1.000,2.000,1.000
117,7,3.586,28,2,12,16,27,66,1,3,4,11,2.000,35.000,6.000,9.000,2.000,6.931
118,1,3.000,22,0,3,3,27,23,9,0,13,2,0.000,37.000,5.000,4.000,4.000,18.000
119,0,1.248,20,3,10,1,10,25,0,6,1,1,0.000,13.000,4.000,1.000,1.000,0.000
120,5,2.358,28,7,39,4,12,45,1,8,9,6,1.000,14.000,8.000,2.000,0.000,4.253
121,1,2.000,17,1,15,3,12,32,0,6,5,1,0.092,12.196,5.981,1.087,0.822,3.085
122,3,9.000,50,17,62,13,48,66,4,11,14,6,4.787,34.391,16.921,6.972,4.385,11.977
123,4,0.983,17,1,27,0,8,13,0,6,3,1,0.000,15.000,6.000,0.000,0.000,3.000
124,1,0.000,14,2,6,4,14,29,3,3,2,0,0.000,16.000,4.000,2.000,2.000,9.000
125,3,1.000,27,4,20,4,31,43,2,6,5,3,0.000,25.000,14.000,4.000,1.000,5.000
126,1,0.564,5,0,20,0,0,10,2,5,6,1,0.000,4.000,5.000,1.000,0.000,3.931
127,2,1.739,16,1,14,2,14,21,1,3,8,2,0.000,13.000,2.000,1.000,2.000,2.577
128,0,0.633,7,1,15,2,8,21,0,4,1,1,0.000,13.000,1.000,1.000,1.000,0.879
129,1,0.000,9,1,6,1,6,15,1,0,2,1,-0.289,11.107,1.617,2.654,1.103,-1.559
130,7,0.000,21,2,21,2,4,23,1,9,6,2,0.104,8.071,5.234,2.018,0.133,3.263
131,2,3.634,33,1,17,7,25,45,4,6,15,4,1.000,27.000,8.000,2.000,0.000,6.464
132,2,2.000,28,0,38,2,26,39,4,11,12,3,1.694,24.449,11.060,4.230,1.236,5.855
133,2,3.000,26,0,22,0,11,24,0,6,5,2,0.000,12.000,5.000,0.000,0.000,1.000
134,4,0.000,15,1,14,4,4,22,0,0,2,2,0.000,10.000,2.000,1.000,0.000,4.000
135,3,4.000,27,2,29,4,6,38,1,10,20,1,0.325,9.373,11.627,1.255,0.731,8.818
136,6,0.000,13,3,18,5,10,29,2,4,3,2,2.000,9.000,4.000,0.000,7.000,3.000
137,2,1.078,19,1,9,2,16,26,3,7,2,1,0.000,23.000,3.000,0.000,0.000,3.537
