顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140001,2025-09-12,"日配品・冷凍食品","カップアイス",9905746,1,409,409
140001,2025-09-19,"ホットスナック","チキン",9905399,1,126,126
140001,2025-09-19,"ホットスナック","チキン",9904157,2,186,372
140001,2025-09-19,"コンビニウェア・日用品","靴下",9904500,2,523,1046
140004,2025-09-11,"飲料・お酒","清涼飲料",9900200,3,700,2100
140004,2025-09-11,"飲料・お酒","缶コーヒー",9901537,2,313,626
140004,2025-09-11,"パン・デザート","プリン",9900189,1,298,298
140004,2025-09-11,"パン・デザート","惣菜パン",9902475,1,320,320
140005,2025-09-14,"日配品・冷凍食品","カップアイス",9900389,1,260,260
140006,2025-09-18,"お弁当・おむすび","直巻きおにぎり",9905570,5,620,3100
140006,2025-09-18,"コンビニウェア・日用品","靴下",9912600,1,191,191
140006,2025-09-18,"コンビニウェア・日用品","靴下",9902919,1,191,191
140008,2025-09-02,"飲料・お酒","清涼飲料",9900203,1,400,400
140008,2025-09-02,"コーヒー","ブレンドコーヒー",9900699,3,627,1881
140012,2025-09-07,"ホットスナック","チキン",9903977,3,638,1914
140012,2025-09-07,"コンビニウェア・日用品","靴下",9901144,1,198,198
140012,2025-09-09,"ホットスナック","チキン",9903129,1,385,385
140012,2025-09-11,"パン・デザート","ケーキ",9903641,2,560,1120
140012,2025-09-11,"パン・デザート","ケーキ",9907258,1,150,150
140012,2025-09-26,"ホットスナック","チキン",9903977,3,606,1818
140012,2025-09-26,"飲料・お酒","清涼飲料",9901830,2,561,1122
140012,2025-09-26,"コンビニウェア・日用品","傘",9905325,2,111,222
140012,2025-09-29,"日配品・冷凍食品","カップアイス",9900318,1,94,94
140012,2025-09-29,"コンビニウェア・日用品","傘",9905325,3,111,333
140020,2025-09-23,"パン・デザート","パフェ",9902991,1,198,198
140026,2025-09-27,"コーヒー","ブレンドコーヒー",9905705,2,229,458
140029,2025-09-01,"飲料・お酒","缶コーヒー",9917322,2,425,850
140037,2025-09-28,"コーヒー","アイスコーヒー",9904893,2,123,246
140038,2025-09-22,"パン・デザート","シュークリーム",9900217,1,782,782
140040,2025-09-09,"ホットスナック","チキン",9901018,3,318,954
140040,2025-09-14,"コーヒー","アイスコーヒー",9900236,1,115,115
140040,2025-09-16,"パン・デザート","プリン",9901147,1,121,121
140042,2025-09-13,"パン・デザート","惣菜パン",9907564,1,209,209
140042,2025-09-13,"コンビニウェア・日用品","傘",9937883,2,380,760
140045,2025-09-14,"お弁当・おむすび","直巻きおにぎり",9901224,2,700,1400
140046,2025-09-02,"ホットスナック","チキン",9900655,1,431,431
140046,2025-09-02,"コンビニウェア・日用品","靴下",9911138,1,277,277
140046,2025-09-09,"飲料・お酒","清涼飲料",9900299,1,180,180
140048,2025-09-13,"コンビニウェア・日用品","除菌グッズ",9901009,1,890,890
140048,2025-09-16,"コーヒー","ブレンドコーヒー",9909323,1,141,141
140048,2025-09-16,"コーヒー","ブレンドコーヒー",9909979,1,161,161
140048,2025-09-24,"パン・デザート","パフェ",9900430,1,304,304
140051,2025-09-02,"パン・デザート","惣菜パン",9903165,5,988,4940
140054,2025-09-01,"ホットスナック","チキン",9900840,1,418,418
140054,2025-09-01,"飲料・お酒","清涼飲料",9900295,6,190,1140
140054,2025-09-03,"お弁当・おむすび","直巻きおにぎり",9900286,1,380,380
140054,2025-09-15,"飲料・お酒","清涼飲料",9901830,1,590,590
140054,2025-09-21,"パン・デザート","パフェ",9906019,2,288,576
140054,2025-09-21,"日配品・冷凍食品","カップアイス",9900808,1,107,107
140054,2025-09-24,"ホットスナック","チキン",9900840,1,418,418
140054,2025-09-25,"パン・デザート","シュークリーム",9928328,1,164,164
140054,2025-09-25,"パン・デザート","シュークリーム",9925190,1,162,162
140054,2025-09-25,"コンビニウェア・日用品","靴下",9900171,1,159,159
140055,2025-09-07,"飲料・お酒","清涼飲料",9900726,1,120,120
140055,2025-09-07,"ホットスナック","チキン",9936742,1,254,254
140055,2025-09-17,"パン・デザート","パフェ",9900607,1,332,332
140055,2025-09-17,"日配品・冷凍食品","カップアイス",9900318,1,94,94
140055,2025-09-29,"飲料・お酒","缶ビール",9903381,8,149,1192
140055,2025-09-29,"飲料・お酒","缶ビール",9910233,8,199,1592
140055,2025-09-29,"飲料・お酒","缶ビール",9903379,8,141,1128
140055,2025-09-29,"コンビニウェア・日用品","傘",9909638,1,270,270
140057,2025-09-12,"飲料・お酒","清涼飲料",9904381,1,109,109
140058,2025-09-16,"飲料・お酒","清涼飲料",9902710,1,292,292
140064,2025-09-08,"パン・デザート","惣菜パン",9908411,2,538,1076
140064,2025-09-08,"パン・デザート","惣菜パン",9908403,1,100,100
140064,2025-09-08,"パン・デザート","惣菜パン",9908402,2,538,1076
140064,2025-09-08,"パン・デザート","惣菜パン",9902787,2,538,1076
140064,2025-09-08,"コンビニウェア・日用品","靴下",9905873,5,248,1240
140064,2025-09-11,"ホットスナック","チキン",9909879,1,148,148
140064,2025-09-11,"日配品・冷凍食品","カップアイス",9902321,2,300,600
140067,2025-09-08,"日配品・冷凍食品","カップアイス",9900174,1,289,289
140067,2025-09-23,"飲料・お酒","チューハイ",9900248,6,245,1470
140067,2025-09-23,"日配品・冷凍食品","カップアイス",9900174,1,260,260
140067,2025-09-28,"日配品・冷凍食品","カップアイス",9900174,1,289,289
140067,2025-09-28,"コーヒー","ブレンドコーヒー",9901185,1,300,300
140070,2025-09-17,"コンビニウェア・日用品","靴下",9900171,1,155,155
140070,2025-09-17,"コンビニウェア・日用品","インナーウェア",9937923,1,245,245
140074,2025-09-07,"コンビニウェア・日用品","傘",9901885,4,361,1444
140074,2025-09-12,"飲料・お酒","缶ビール",9923348,1,155,155
140074,2025-09-12,"飲料・お酒","缶ビール",9905099,1,126,126
140074,2025-09-12,"日配品・冷凍食品","カップアイス",9937934,2,749,1498
140074,2025-09-12,"コンビニウェア・日用品","傘",9910345,2,123,246
140074,2025-09-19,"パン・デザート","どら焼き",9937939,1,665,665
140074,2025-09-19,"パン・デザート","どら焼き",9937938,1,492,492
140074,2025-09-19,"パン・デザート","どら焼き",9937940,7,123,861
140074,2025-09-19,"パン・デザート","どら焼き",9904358,9,213,1917
140074,2025-09-19,"パン・デザート","どら焼き",9935849,1,147,147
140074,2025-09-19,"パン・デザート","どら焼き",9937937,2,116,232
140074,2025-09-19,"パン・デザート","パフェ",9902991,5,228,1140
140074,2025-09-19,"パン・デザート","どら焼き",9901954,1,978,978
140074,2025-09-19,"コンビニウェア・日用品","傘",9905156,1,226,226
140074,2025-09-19,"コンビニウェア・日用品","傘",9904342,1,480,480
140074,2025-09-19,"コンビニウェア・日用品","傘",9901855,1,263,263
140074,2025-09-19,"コンビニウェア・日用品","傘",9921158,2,261,522
140074,2025-09-19,"コンビニウェア・日用品","傘",9901885,1,343,343
140074,2025-09-19,"コンビニウェア・日用品","傘",9901864,1,620,620
140074,2025-09-19,"日配品・冷凍食品","カップアイス",9922845,4,862,3448
140074,2025-09-19,"コンビニウェア・日用品","ノート",9921740,4,272,1088
140074,2025-09-19,"コンビニウェア・日用品","靴下",9900171,1,151,151
140074,2025-09-25,"コンビニウェア・日用品","傘",9901864,9,620,5580
140074,2025-09-30,"飲料・お酒","フレーバーティー",9906521,4,133,532
140074,2025-09-30,"ホットスナック","チキン",9915177,2,135,270
140074,2025-09-30,"コンビニウェア・日用品","傘",9901864,5,620,3100
140076,2025-09-23,"パン・デザート","サンドイッチ",9901255,1,207,207
140076,2025-09-23,"パン・デザート","サンドイッチ",9903975,1,192,192
140076,2025-09-28,"お弁当・おむすび","ガツうまおにぎり",9905299,2,730,1460
140076,2025-09-28,"パン・デザート","シュークリーム",9934011,1,232,232
140077,2025-09-09,"コンビニウェア・日用品","靴下",9902919,2,191,382
140077,2025-09-09,"コンビニウェア・日用品","靴下",9900198,5,398,1990
140077,2025-09-23,"コンビニウェア・日用品","靴下",9912600,2,191,382
140078,2025-09-03,"パン・デザート","シュークリーム",9900227,1,650,650
140078,2025-09-21,"ホットスナック","チキン",9910812,5,184,920
140078,2025-09-21,"コンビニウェア・日用品","靴下",9900171,1,159,159
140078,2025-09-22,"コーヒー","アイスコーヒー",9910756,2,560,1120
140078,2025-09-22,"パン・デザート","惣菜パン",9937953,1,114,114
140078,2025-09-22,"コーヒー","アイスコーヒー",9903193,3,230,690
140081,2025-09-05,"コンビニウェア・日用品","靴下",9900172,1,378,378
140081,2025-09-16,"コンビニウェア・日用品","靴下",9900172,1,398,398
140081,2025-09-16,"コンビニウェア・日用品","ノート",9905080,1,498,498
140081,2025-09-24,"パン・デザート","パフェ",9900449,2,285,570
140082,2025-09-08,"飲料・お酒","清涼飲料",9900299,2,180,360
140095,2025-09-20,"飲料・お酒","清涼飲料",9903296,3,165,495
140095,2025-09-24,"パン・デザート","どら焼き",9932909,1,370,370
140095,2025-09-24,"パン・デザート","どら焼き",9934401,1,350,350
140095,2025-09-24,"パン・デザート","どら焼き",9937151,1,360,360
140095,2025-09-24,"パン・デザート","どら焼き",9924441,1,350,350
140095,2025-09-24,"パン・デザート","パフェ",9900430,1,304,304
140095,2025-09-24,"コーヒー","ブレンドコーヒー",9905707,1,116,116
140095,2025-09-25,"パン・デザート","パフェ",9900607,1,320,320
140101,2025-09-09,"ホットスナック","チキン",9900842,1,349,349
