顧客番号,DATE,Page,大分類,滞在秒数
246658,2021-02-26,"/sv/browser?","カテゴリG",45.617
246658,2021-02-26,"/sv/viewer?","カテゴリB",50.683
246658,2021-07-02,"/sv/browser?","カテゴリG",13.462
246658,2021-07-02,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",48.239
173745,2021-01-30,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",7.049
173745,2021-01-16,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",221.999
173745,2021-01-16,"/sv/client?","カテゴリF",46.918
173745,2021-01-22,"/sv/bookkeeper/","カテゴリD",46.297
173745,2021-01-30,"/sv/","カテゴリB",55.492
173745,2021-01-30,"/sv/","カテゴリB",37.787
173745,2021-01-30,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",63.458
209485,2021-05-05,"/sv/browser?","カテゴリG",38.357
209485,2021-01-26,"/sv/browser?","カテゴリG",109.974
209485,2021-01-26,"/sv/browser?","カテゴリG",52.041
209485,2021-03-09,"/sv/browser?","カテゴリG",1.773
209485,2021-03-09,"/sv/browser?","カテゴリG",22.765
209485,2021-03-25,"/sv/browser?","カテゴリG",181.969
209485,2021-03-27,"/sv/browser?","カテゴリG",204.915
209485,2021-07-09,"/sv/browser?","カテゴリG",39.207
487201,2021-01-07,"/sv/","カテゴリB",84.077
487201,2021-01-07,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",136.891
487201,2021-02-02,"/sv/bookkeeper/","カテゴリD",6.914
487201,2021-03-02,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",95.297
487201,2021-03-03,"/sv/bookkeeper/","カテゴリD",9.461
487201,2021-03-03,"/sv/bookkeeper?","カテゴリE",28.633
487201,2021-03-18,"/sv/viewer?","カテゴリB",20.550
487201,2021-07-02,"/sv/bookkeeper?","カテゴリE",47.177
487201,2021-09-18,"/sv/bookkeeper?","カテゴリE",25.000
555132,2021-09-02,"/sv/viewer?","カテゴリB",37.102
555132,2021-01-06,"/sv/browser","カテゴリD",0.037
555132,2021-01-08,"/sv/client?","カテゴリF",20.949
555132,2021-01-09,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",43.519
555132,2021-04-23,"/sv/publisher?","カテゴリD",8.794
555132,2021-04-23,"/sv/viewer?","カテゴリB",19.923
555132,2021-05-22,"/sv/client?","カテゴリF",71.550
555132,2021-06-08,"/sv/client?","カテゴリF",31.512
555132,2021-08-18,"/sv/client?","カテゴリF",24.069
555132,2021-08-18,"/sv/publisher","カテゴリA",110.545
586324,2021-01-14,"/sv/publisher","カテゴリA",31.512
586324,2021-01-01,"/sv/logout?","カテゴリD",2.386
586324,2021-01-01,"/sv/publisher","カテゴリA",57.646
586324,2021-01-14,"/sv/publisher","カテゴリA",8.478
586324,2021-01-25,"/sv/publisher","カテゴリA",341.978
727546,2021-03-09,"/sv/publisher?","カテゴリD",124.550
