ブランド,イメージスコア
"L",50.000
"L",52.000
"L",54.000
"L",56.000
"L",58.000
"L",60.000
"L",62.000
"L",64.000
"L",66.000
"L",68.000
"L",70.000
"L",72.000
"L",74.000
"L",76.000
"L",78.000
"L",80.000
"L",82.000
"L",84.000
"L",86.000
"L",88.000
"L",90.000
"O",65.000
"O",67.000
"O",69.000
"O",71.000
"O",73.000
"O",75.000
"O",77.000
"O",79.000
"O",81.000
"O",83.000
"O",85.000
"O",87.000
"O",89.000
"O",91.000
"O",93.000
"O",95.000
"O",97.000
"O",99.000
"O",55.000
"O",57.000
"O",59.000
"N",50.000
"N",52.000
"N",54.000
"N",56.000
"N",58.000
"N",60.000
"N",62.000
"N",64.000
"N",66.000
"N",68.000
"N",70.000
"N",72.000
"N",74.000
"N",76.000
"N",78.000
"N",80.000
"N",82.000
"N",84.000
"N",86.000
"N",88.000
"N",90.000
"M",48.000
"M",50.000
"M",52.000
"M",54.000
"M",56.000
"M",58.000
"M",60.000
"M",62.000
"M",64.000
"M",66.000
"M",68.000
"M",70.000
"M",72.000
"M",74.000
"M",76.000
"M",78.000
"M",80.000
"M",82.000
"M",84.000
"M",86.000
"M",88.000
"B",70.000
"B",72.000
"B",74.000
"B",76.000
"B",78.000
"B",80.000
"B",82.000
"B",84.000
"B",86.000
"B",88.000
"B",90.000
"B",92.000
"B",94.000
"B",96.000
"B",98.000
"B",50.000
"B",52.000
"B",54.000
"B",56.000
"B",58.000
"B",60.000
"A",75.000
"A",77.000
"A",79.000
"A",81.000
"A",83.000
"A",85.000
"A",87.000
"A",89.000
"A",91.000
"A",93.000
"A",95.000
"A",97.000
"A",99.000
"A",50.000
"A",52.000
"A",54.000
"A",56.000
"A",58.000
"A",60.000
"A",62.000
"A",64.000
