CUSTID,小計_Sum,アクセサリ_小計_Sum,インナーウエア_小計_Sum,バッグ_小計_Sum,化粧品_小計_Sum,婦人服_小計_Sum,靴_小計_Sum,食品_小計_Sum
100001,98724,8278,7715,7243,26885,6026,26870,15707
100004,170076,0,47262,10342,35251,19631,45890,11700
100005,118960,10500,0,0,0,0,0,108460
100006,85070,0,26210,14400,33000,11460,0,0
100008,54280,1017,21755,2800,13441,2950,11123,1194
100012,299015,30638,48548,60782,37073,47206,8524,66244
100016,102430,0,0,0,88430,14000,0,0
100017,24630,0,0,6451,1298,0,1726,15155
100019,61822,2375,2586,0,50724,4427,1710,0
100020,35462,0,4560,15281,15621,0,0,0
100021,37700,0,10895,3020,2907,15351,1107,4420
100022,285043,0,63930,0,209743,8550,2820,0
100023,42327,0,9008,13600,10080,0,9639,0
100026,74742,0,0,5200,6380,0,63162,0
100027,50239,0,5910,9245,9400,13100,0,12584
100028,18135,0,0,8644,0,0,9491,0
100029,67955,0,11216,9880,9820,0,30260,6779
100030,64382,0,1430,2000,13006,28706,15760,3480
100036,36988,23308,0,0,0,0,13680,0
100037,102602,5523,21200,6230,4676,12140,35833,17000
100038,369754,20000,13656,5714,76467,224795,11480,17642
100039,35020,26790,0,0,0,1980,6250,0
100040,341221,89267,125158,0,60793,30915,17498,17590
100042,200387,3232,20043,6754,48061,115192,2480,4625
100043,50725,0,3588,0,6600,38000,2537,0
100045,271893,21360,19419,50912,46233,33873,62260,37836
100046,72908,40998,9800,6230,4340,8310,1530,1700
100048,379709,1260,11144,6793,16505,271135,64172,8700
100049,142115,40082,3534,0,36423,1292,19598,41186
100051,64250,1960,20540,1800,22600,0,17350,0
100054,431629,136000,123780,91260,16154,47195,1440,15800
100055,887540,62042,292736,143390,156582,148026,14750,70014
100057,111428,42000,69428,0,0,0,0,0
100058,111454,11162,40358,3040,9800,18886,6780,21428
100064,231277,1488,26701,5806,61932,66242,46768,22340
100065,235429,0,7450,0,146073,73381,6380,2145
