ID,DATE,TERM,利用機種,OPEREATER,comment,クレーム,機器,機能・サービス,請求,購入
962,2024-02-10,"2月第2週","B919","CT","新しい料金プランについて知りたい。すぐに解約の可能性大。無料通話分を増やしたい。",0,0,0,1,0
868,2024-02-10,"2月第2週","B919","CT","ローミング料金が異常に高い。契約時にサービスエリアをちゃんと説明されていなかった。また、ほかの地域を旅行時に、受信状況があまりよくない。",0,0,0,1,0
910,2024-02-10,"2月第2週","V501","CT","メールの使い方を知りたい。HPを参照するように伝える。",0,0,1,0,0
891,2024-02-10,"2月第2週","L701","CT","他社は料金が安くて、契約期間のないものがある。今の契約をすぐ破棄したい。",1,0,0,1,0
875,2024-02-10,"2月第2週","B919","HY","電話がかからないことが多い。バッテリーがよくないと思う。",1,1,0,0,0
1887,2024-02-10,"2月第2週","V501","HY","先週、電話を盗まれたが、今日まで気付かなかった。先週から今日までの分の通話料金は払いたくない。我が社の規約について説明後、上司に転送。",0,0,0,0,0
266,2024-02-10,"2月第2週","B919","HY","営業の電話をしてこないでほしい。年末に料金プランを変更したい。",0,0,0,1,0
1694,2024-02-10,"2月第2週","B919","HY","ローミングにお金がかかる理由がわからない。HPを参照するように伝える。",1,0,0,1,0
233,2024-02-10,"2月第2週","V501","JK","電波が弱い。バッテリーを交換しても駄目。",1,1,0,0,0
792,2024-02-10,"2月第2週","V501","JK","サポートに電話した場合、待ち時間が長すぎてひどい。また、電話機の受信状態が最悪。",1,0,0,0,0
426,2024-02-10,"2月第2週","V501","JK","着信音の変更方法が知りたい。HPを参照するように伝える。",1,0,0,1,0
1755,2024-02-10,"2月第2週","V501","JK","１年契約したことを後悔している。サービスが最悪。電話機もひどい。料金が安いとそれなりのものしか利用できないことがわかった。転送。",1,1,0,1,0
290,2024-02-10,"2月第2週","B919","KC","調子が悪いのは、電話機のせいなのか、それともバッテリーのせいなのか、わからない。",1,1,0,0,0
442,2024-02-10,"2月第2週","V501","KC","家族割引を利用したい。お客様窓口に転送。",0,0,1,0,1
766,2024-02-10,"2月第2週","L701","KC","なんだかかんだか",0,0,0,0,0
3189,2024-02-10,"2月第2週","L701","KC","LAやNYでのサービスエリアについて知りたい。旅行中につながらなくならないか、心配。",1,1,0,0,0
3776,2024-02-10,"2月第2週","B919","KO","HPがよくない。自分では、必要な情報が、さがせない。",1,0,0,0,0
224,2024-02-10,"2月第2週","V501","KO","電話機の性能がほんとうに悪い。自宅付近だとほとんど何も聞こえない。",1,1,0,0,0
286,2024-02-10,"2月第2週","V501","KO","すぐに上司に転送",0,0,0,0,0
1718,2024-02-10,"2月第2週","B919","KO","GSMが始まるまで待てない。",0,0,0,0,0
1891,2024-02-10,"2月第2週","V501","MF","請求が不満。かけていない通話の分も請求されている。信用できない。",1,0,0,1,0
260,2024-02-10,"2月第2週","B919","MF","サービスを改善してほしい。",1,0,0,0,0
1802,2024-02-10,"2月第2週","L701","MF","営業の電話をしてこないでほしい。年末に料金プランを変更したい。",0,0,0,1,0
1227,2024-02-10,"2月第2週","B919","MF","料金プランを変更するには、契約日が関係することを知らなかった。契約が終わるまで待てない。",1,0,0,1,0
1380,2024-02-10,"2月第2週","V501","MK","ローミング料金が異常に高い。契約時にサービスエリアをちゃんと説明されていなかった。また、ほかの地域を旅行時に、受信状況があまりよくない。",0,0,0,1,0
1596,2024-02-10,"2月第2週","L701","MK","カスタマーサポートをもっと改善してほしい。",1,0,0,0,0
2753,2024-02-10,"2月第2週","B919","MK","家族割引を利用したい。お客様窓口に転送。",0,0,1,0,1
577,2024-02-10,"2月第2週","B919","MK","電話がかからない。電話がちゃんとかからないのなら、自分も料金をちゃんと払う必要はないのでは、という。確かにそうだが。",0,1,0,0,0
