CUSTID,購入金額合計,クリーム,クレンジング,ネイル,ベースメイク,メイクアップ,化粧水,年代,入会後年数,顧客評価
100001,27287,0.247,0.064,0.051,0.325,0.000,0.313,"30代",8,"MrankA"
100004,28109,0.000,0.000,0.511,0.192,0.297,0.000,"40代",5,"MrankC"
100005,10400,1.000,0.000,0.000,0.000,0.000,0.000,"20代",7,"MrankA"
100006,22450,0.000,0.575,0.000,0.000,0.425,0.000,"20代",6,"MrankB"
100008,24723,0.000,0.113,0.660,0.045,0.064,0.119,"40代",9,"MrankC"
100012,54663,0.153,0.127,0.139,0.159,0.399,0.024,"20代",6,"MrankA"
100016,40680,0.000,0.000,0.000,0.828,0.172,0.000,"40代",1,"MrankC"
100017,8605,0.617,0.232,0.000,0.151,0.000,0.000,"40代",9,"MrankA"
100019,11684,0.000,0.000,0.135,0.486,0.379,0.000,"50代",12,"MrankB"
100020,14612,0.000,0.741,0.000,0.259,0.000,0.000,"50代",11,"MrankC"
100021,12146,0.082,0.000,0.171,0.239,0.416,0.091,"30代",4,"MrankA"
100022,24784,0.000,0.000,0.744,0.097,0.160,0.000,"20代",7,"MrankA"
100023,19088,0.000,0.000,0.472,0.528,0.000,0.000,"30代",9,"MrankB"
100026,19017,0.000,0.217,0.000,0.000,0.000,0.783,"40代",4,"MrankB"
100027,21305,0.000,0.249,0.161,0.112,0.478,0.000,"50代",7,"MrankB"
100028,11696,0.000,0.318,0.000,0.000,0.000,0.682,"50代",4,"MrankB"
100029,17580,0.205,0.279,0.000,0.445,0.000,0.072,"30代",3,"MrankA"
100030,14408,0.242,0.000,0.000,0.551,0.207,0.000,"40代",9,"MrankC"
100036,18890,0.000,0.000,0.000,0.819,0.000,0.181,"50代",4,"MrankB"
100037,20511,0.000,0.304,0.079,0.165,0.183,0.270,"30代",3,"MrankA"
100038,161883,0.000,0.015,0.053,0.412,0.520,0.000,"30代",2,"MrankC"
100039,4450,0.000,0.000,0.000,0.000,0.000,1.000,"20代",1,"MrankB"
100040,45607,0.000,0.000,0.401,0.300,0.173,0.126,"40代",6,"MrankB"
100042,43472,0.000,0.104,0.036,0.474,0.387,0.000,"50代",12,"MrankB"
100043,28588,0.000,0.000,0.126,0.077,0.798,0.000,"40代",10,"MrankC"
100045,56928,0.000,0.283,0.211,0.146,0.217,0.142,"40代",6,"MrankB"
100046,29381,0.000,0.212,0.000,0.736,0.000,0.052,"20代",1,"MrankC"
100048,69049,0.126,0.030,0.118,0.178,0.193,0.355,"20代",9,"MrankA"
100049,59452,0.105,0.000,0.059,0.700,0.022,0.114,"40代",10,"MrankC"
100051,23620,0.000,0.076,0.178,0.746,0.000,0.000,"30代",3,"MrankB"
100054,4927,0.000,0.000,0.000,0.232,0.768,0.000,"50代",12,"MrankA"
100055,81130,0.000,0.389,0.482,0.019,0.109,0.000,"20代",2,"MrankC"
100057,38980,0.000,0.000,1.000,0.000,0.000,0.000,"50代",5,"MrankC"
100058,36234,0.084,0.084,0.433,0.344,0.055,0.000,"20代",4,"MrankB"
100064,28388,0.211,0.144,0.205,0.396,0.044,0.000,"40代",5,"MrankC"
100065,49754,0.000,0.000,0.000,0.471,0.529,0.000,"20代",12,"MrankB"
100067,31029,0.000,0.373,0.056,0.000,0.041,0.530,"40代",12,"MrankC"
100070,14000,1.000,0.000,0.000,0.000,0.000,0.000,"20代",9,"MrankB"
100071,24540,0.000,0.000,0.676,0.000,0.324,0.000,"40代",5,"MrankB"
100074,62419,0.055,0.000,0.768,0.037,0.122,0.017,"20代",8,"MrankC"
100075,33530,0.000,0.000,0.522,0.339,0.041,0.098,"40代",2,"MrankB"
100076,42308,0.256,0.245,0.000,0.414,0.000,0.085,"20代",1,"MrankC"
100077,44714,0.296,0.000,0.000,0.448,0.196,0.060,"30代",5,"MrankA"
100078,28215,0.000,0.000,0.000,0.327,0.196,0.477,"20代",10,"MrankB"
100081,39218,0.000,0.000,0.102,0.000,0.898,0.000,"30代",7,"MrankA"
100082,37200,0.000,0.000,0.748,0.000,0.134,0.118,"40代",5,"MrankB"
100094,10798,0.000,0.253,0.250,0.398,0.099,0.000,"20代",4,"MrankC"
100095,136475,0.000,0.000,0.011,0.112,0.704,0.174,"20代",6,"MrankC"
100098,29304,0.000,0.000,0.000,0.780,0.220,0.000,"50代",1,"MrankB"
100100,34537,0.000,0.000,0.000,0.401,0.115,0.483,"40代",3,"MrankC"
100101,132023,0.226,0.000,0.000,0.159,0.379,0.236,"20代",1,"MrankC"
100102,24394,0.298,0.178,0.000,0.231,0.000,0.292,"50代",4,"MrankC"
100103,21490,0.000,0.048,0.459,0.202,0.291,0.000,"30代",9,"MrankC"
100106,46450,0.000,0.135,0.198,0.419,0.000,0.248,"20代",11,"MrankC"
100107,8564,0.000,0.000,0.000,0.358,0.642,0.000,"30代",1,"MrankB"
100111,69748,0.000,0.382,0.450,0.108,0.032,0.028,"20代",1,"MrankC"
100112,18842,0.000,0.000,0.117,0.328,0.555,0.000,"30代",10,"MrankB"
100113,107437,0.416,0.182,0.043,0.167,0.052,0.140,"50代",11,"MrankB"
100117,20527,0.000,0.000,0.081,0.392,0.457,0.070,"30代",7,"MrankC"
100118,25880,0.000,0.000,0.326,0.464,0.046,0.164,"30代",2,"MrankC"
100120,15572,0.000,0.000,0.000,0.292,0.000,0.708,"50代",7,"MrankB"
100122,55719,0.000,0.087,0.432,0.114,0.367,0.000,"30代",2,"MrankA"
100126,71165,0.061,0.000,0.000,0.655,0.246,0.039,"20代",12,"MrankC"
