Time,Value
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.005,0.000
0.006,0.000
0.007,0.000
0.008,0.000
0.009,0.000
0.010,0.000
0.011,0.000
0.012,0.000
0.013,0.000
0.014,0.000
0.015,0.000
0.016,0.000
0.017,0.000
0.018,0.000
0.019,0.000
0.020,0.000
0.021,0.000
0.022,0.000
0.023,0.000
0.024,0.000
0.025,0.000
0.026,0.000
0.027,0.000
0.028,0.000
0.029,0.000
0.030,0.000
0.031,0.000
0.032,0.000
0.033,0.000
0.034,0.000
0.035,0.001
0.036,0.001
0.037,0.001
0.038,0.001
0.039,0.001
0.040,0.001
0.041,0.001
0.042,0.001
0.043,0.001
0.044,0.001
0.045,0.001
0.046,0.002
0.047,0.002
0.048,0.002
0.049,0.002
0.050,0.002
0.051,0.002
0.052,0.002
0.053,0.003
0.054,0.003
0.055,0.003
0.056,0.003
0.057,0.004
0.058,0.004
0.059,0.004
0.060,0.004
0.061,0.005
0.062,0.005
0.063,0.005
0.064,0.006
0.065,0.006
0.066,0.006
0.067,0.007
0.068,0.007
0.069,0.008
0.070,0.008
0.071,0.009
0.072,0.009
0.073,0.010
0.074,0.010
0.075,0.011
0.076,0.011
0.077,0.012
0.078,0.013
0.079,0.013
0.080,0.014
0.081,0.015
0.082,0.015
0.083,0.016
0.084,0.017
0.085,0.018
0.086,0.019
0.087,0.019
0.088,0.020
0.089,0.021
0.090,0.022
0.091,0.023
0.092,0.024
0.093,0.025
0.094,0.027
0.095,0.028
0.096,0.029
0.097,0.030
0.098,0.031
0.099,0.033
0.100,0.034
0.101,0.035
0.102,0.037
0.103,0.038
0.104,0.040
0.105,0.041
0.106,0.043
0.107,0.045
0.108,0.046
0.109,0.048
0.110,0.050
0.111,0.052
0.112,0.053
0.113,0.055
0.114,0.057
0.115,0.059
0.116,0.062
0.117,0.064
0.118,0.066
0.119,0.068
0.120,0.070
0.121,0.073
0.122,0.075
0.123,0.078
0.124,0.080
0.125,0.083
0.126,0.086
0.127,0.088
0.128,0.091
0.129,0.094
0.130,0.097
0.131,0.100
0.132,0.103
0.133,0.106
0.134,0.110
0.135,0.113
0.136,0.116
0.137,0.120
0.138,0.123
0.139,0.127
0.140,0.131
0.141,0.134
0.142,0.138
0.143,0.142
0.144,0.146
0.145,0.150
0.146,0.154
0.147,0.159
0.148,0.163
0.149,0.168
0.150,0.172
0.151,0.177
0.152,0.181
0.153,0.186
0.154,0.191
0.155,0.196
0.156,0.201
0.157,0.207
0.158,0.212
0.159,0.217
0.160,0.223
0.161,0.228
0.162,0.234
0.163,0.240
0.164,0.246
0.165,0.252
0.166,0.258
0.167,0.264
0.168,0.271
0.169,0.277
0.170,0.284
0.171,0.291
0.172,0.298
0.173,0.305
0.174,0.312
0.175,0.319
0.176,0.326
0.177,0.334
0.178,0.341
0.179,0.349
0.180,0.357
0.181,0.365
0.182,0.373
0.183,0.381
0.184,0.390
0.185,0.398
0.186,0.407
0.187,0.416
0.188,0.425
0.189,0.434
0.190,0.443
0.191,0.452
0.192,0.462
0.193,0.472
0.194,0.482
0.195,0.492
0.196,0.502
0.197,0.512
0.198,0.522
0.199,0.533
0.200,0.544
0.201,0.555
0.202,0.566
0.203,0.577
0.204,0.589
0.205,0.600
0.206,0.612
0.207,0.624
0.208,0.636
0.209,0.649
0.210,0.661
0.211,0.674
0.212,0.687
0.213,0.700
0.214,0.713
0.215,0.726
0.216,0.740
0.217,0.754
0.218,0.768
0.219,0.782
0.220,0.796
0.221,0.811
0.222,0.826
0.223,0.841
0.224,0.856
0.225,0.871
0.226,0.887
0.227,0.903
0.228,0.919
0.229,0.935
0.230,0.951
0.231,0.968
0.232,0.985
0.233,1.002
0.234,1.019
0.235,1.037
0.236,1.055
0.237,1.073
0.238,1.091
0.239,1.109
0.240,1.128
0.241,1.147
0.242,1.166
0.243,1.185
0.244,1.205
0.245,1.225
0.246,1.245
0.247,1.265
0.248,1.286
0.249,1.307
0.250,1.328
0.251,1.349
0.252,1.371
0.253,1.393
0.254,1.415
0.255,1.437
0.256,1.460
0.257,1.483
0.258,1.506
0.259,1.530
0.260,1.553
0.261,1.578
0.262,1.602
0.263,1.626
0.264,1.651
0.265,1.676
0.266,1.702
0.267,1.728
0.268,1.754
0.269,1.780
0.270,1.807
0.271,1.834
0.272,1.861
0.273,1.888
0.274,1.916
0.275,1.944
0.276,1.973
0.277,2.001
0.278,2.030
0.279,2.060
0.280,2.090
0.281,2.120
0.282,2.150
0.283,2.181
0.284,2.212
0.285,2.243
0.286,2.274
0.287,2.306
0.288,2.339
0.289,2.371
0.290,2.404
0.291,2.438
0.292,2.471
0.293,2.505
0.294,2.540
0.295,2.575
0.296,2.610
0.297,2.645
0.298,2.681
0.299,2.717
0.300,2.754
0.301,2.791
0.302,2.828
0.303,2.865
0.304,2.903
0.305,2.942
0.306,2.981
0.307,3.020
0.308,3.059
0.309,3.099
0.310,3.140
0.311,3.180
0.312,3.221
0.313,3.263
0.314,3.305
0.315,3.360
0.316,3.420
0.317,3.458
0.318,3.471
0.319,3.477
0.320,3.482
