ID,電流,電圧,外気温,速度,砂条件,鋳型条件,判定
1101,0,356,8,9,"B","B","NG"
1106,0,205,13,1,"B","B","NG"
1113,0,0,10,4,"B","B","NG"
1122,19,0,7,3,"A","A","NG"
1123,3,684,12,1,"B","A","NG"
1128,1,0,7,3,"B","A","NG"
1134,19,74,9,0,"A","A","NG"
1151,0,167,6,12,"B","B","NG"
1223,3,63,5,0,"A","A","NG"
1152,2,396,16,3,"C","B","NG"
1154,5,76,4,0,"A","A","NG"
1157,22,524,0,4,"A","A","NG"
1167,3,95,10,5,"B","A","NG"
1169,0,170,6,3,"B","B","NG"
1170,5,76,4,0,"A","A","NG"
1174,0,212,1,5,"B","B","NG"
1175,22,106,14,4,"B","A","NG"
1192,1,81,7,2,"A","A","NG"
1193,2,75,12,2,"A","A","NG"
1211,0,205,10,4,"A","B","NG"
1212,1,337,9,6,"B","C","OK"
1210,1,0,6,5,"B","C","OK"
1209,7,0,6,4,"C","B","OK"
1208,33,0,2,4,"C","B","OK"
1207,4,168,14,9,"B","B","OK"
1206,4,168,14,9,"B","B","OK"
1205,4,179,3,11,"B","B","OK"
1204,23,644,9,0,"B","A","OK"
1203,3,275,4,7,"B","C","OK"
1202,2,450,14,0,"B","A","OK"
1201,2,0,5,6,"B","C","OK"
1200,1,178,9,6,"B","B","OK"
1199,22,463,4,2,"A","B","OK"
1198,31,171,4,7,"B","B","OK"
1197,1,1335,2,6,"A","B","OK"
1196,1,108,3,1,"B","A","OK"
1195,2,150,2,5,"B","B","OK"
1194,1,250,4,14,"B","B","OK"
1213,5,177,1,9,"B","B","OK"
1214,2,925,3,7,"C","B","OK"
1191,6,595,17,5,"B","B","OK"
1190,1,194,4,5,"B","B","OK"
1189,3,145,2,4,"B","B","OK"
1188,3,275,4,7,"B","C","OK"
1187,27,380,6,4,"C","B","OK"
1186,1,146,7,2,"A","C","OK"
1185,6,207,6,13,"B","B","OK"
1184,2,176,24,2,"C","B","OK"
1183,2,112,3,0,"A","A","OK"
1182,2,0,11,8,"B","B","OK"
1181,5,247,4,8,"B","C","OK"
1180,37,329,10,11,"B","C","OK"
1179,1,184,3,4,"B","B","OK"
