期間,年齢,収入,教育,雇用,設備,コールカード,ワイヤレス,長距離月,通話料月,設備月,カード月,ワイヤレス月,長距離計,通話料計,カード計,ボイス,ポケベル,インターネット,キャッチ,スリーホン,電子請求,log長距離,log無料通話,ln収入,顧客,解約
13,44,64.000,4,5,0,1,0,3.700,0.000,0.000,7.500,0.000,37.450,0.000,110.000,0,0,0,0,0,0,1.308,3.240,4.159,1,1
11,33,136.000,5,5,0,1,1,4.400,20.750,0.000,15.250,35.700,42.000,211.450,125.000,1,1,0,1,1,0,1.482,3.033,4.913,4,1
68,52,116.000,1,29,0,1,0,18.150,18.000,0.000,30.250,0.000,1300.600,1247.200,2150.000,0,0,0,1,1,0,2.899,2.890,4.754,3,0
33,33,33.000,2,0,0,0,0,9.450,0.000,0.000,0.000,0.000,288.800,0.000,0.000,0,0,0,0,0,0,2.246,3.240,3.497,1,1
23,30,30.000,1,2,0,0,0,6.300,0.000,0.000,0.000,0.000,157.050,0.000,0.000,0,0,0,0,1,0,1.841,3.240,3.401,3,0
41,39,78.000,2,16,0,1,0,11.800,19.250,0.000,13.500,0.000,487.400,798.400,570.000,0,0,0,1,0,0,2.468,2.958,4.357,3,0
45,22,19.000,2,4,0,1,0,10.900,0.000,0.000,8.750,0.000,504.500,0.000,415.000,0,0,1,1,0,1,2.389,3.240,2.944,2,1
38,35,76.000,2,10,1,1,1,6.050,45.000,50.100,23.250,64.900,239.550,1873.050,880.000,1,1,1,1,1,1,1.800,3.807,4.331,4,0
45,59,166.000,4,31,0,1,0,9.750,28.500,0.000,12.000,0.000,449.050,1240.150,505.000,0,0,0,1,1,0,2.277,3.350,5.112,3,0
68,41,72.000,1,22,0,1,0,24.150,0.000,0.000,16.500,0.000,1659.700,0.000,1155.000,0,0,0,0,0,0,3.184,3.240,4.277,2,0
5,33,125.000,4,5,1,0,0,4.850,0.000,26.150,0.000,0.000,17.250,0.000,0.000,0,1,1,0,0,1,1.579,3.240,4.828,1,1
7,35,80.000,2,15,0,1,0,7.100,22.000,0.000,23.750,0.000,47.450,166.100,145.000,1,0,0,1,1,0,1.960,3.091,4.382,3,0
