C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
1.988,-4.638,10.608,9.449,2.382,7.026,7.012,4.010,5.879,10.633,-7.413,1.893,4.271,7.102,3.300,4.299,-6.196,-7.094,10.111,-3.971,0.877,1.655,11.132,-9.389,8.848,-4.681,-3.881,8.172,3.217,-1.666,5.390,4.511,-5.970,2.577,-6.706,-2.710,3.852,4.729,-3.398
-5.664,1.179,-4.940,-2.695,-4.345,-0.421,-0.957,0.567,-7.294,-4.124,-2.197,-7.054,-4.291,1.389,-3.528,-5.956,-0.854,2.520,-4.385,-1.225,-3.586,-3.567,-4.702,-0.362,-4.599,-1.514,0.709,-5.319,-4.741,-5.068,2.018,3.433,0.195,-1.195,-0.504,-1.483,-1.311,-1.607,-3.638
-0.409,-4.272,1.608,1.916,-4.064,-2.051,-2.990,-0.495,5.228,3.878,0.234,1.385,-2.506,-1.071,-0.530,-0.372,-5.767,-0.203,4.330,-7.935,1.107,3.429,5.596,-0.567,2.535,-4.323,-7.966,3.648,2.574,-1.846,-1.589,0.555,-5.432,-2.306,-5.309,-4.001,-4.397,-3.837,-6.938
-1.319,-3.036,-3.787,-4.173,-0.044,0.481,-1.049,-1.340,-2.558,-1.720,1.795,3.649,-2.132,0.768,-4.451,1.159,-2.557,1.053,-3.750,-4.448,1.213,-1.341,-3.075,2.060,-1.570,-2.858,-3.185,-4.214,-1.724,-0.753,3.221,1.396,-2.300,-2.331,-4.499,-3.975,-2.867,0.084,-2.216
-2.845,-5.613,-1.262,-2.675,-0.684,-0.465,-1.832,-1.256,0.617,-2.419,1.852,2.836,-1.601,0.314,-2.157,3.340,-4.172,1.813,0.698,-2.108,2.566,1.633,2.119,1.748,1.071,-5.688,-3.820,-4.627,-0.453,-2.398,1.020,-1.087,-4.235,-1.564,-6.529,-7.060,-1.044,0.053,-1.970
4.221,-3.262,-0.848,-0.097,4.178,2.681,4.801,3.881,-2.863,0.641,1.681,-0.077,0.952,-0.912,2.752,-0.924,-2.207,2.820,-0.752,-0.472,0.742,-0.678,-2.672,-0.029,-3.678,-2.430,-1.022,-1.442,0.264,-3.254,2.432,0.915,-3.223,3.884,-2.103,-2.323,4.858,4.253,-0.574
-0.175,-2.179,-0.245,-0.787,1.993,-2.891,-3.676,0.251,-0.874,-1.280,3.758,-4.408,-1.415,-3.257,-2.188,-5.746,0.641,3.960,-1.711,-1.969,-2.960,1.774,-0.257,7.543,-1.235,-2.471,-0.500,1.340,4.425,-4.286,-2.972,-3.860,-1.951,-1.169,-1.957,-1.614,-3.974,-1.315,-4.609
-0.452,0.728,1.351,1.343,1.847,5.434,4.392,0.203,1.537,0.083,1.104,2.827,-0.714,7.942,1.412,5.150,1.005,1.955,-0.372,0.346,4.323,3.415,0.689,5.215,1.590,0.554,1.125,2.308,2.416,4.295,4.290,5.771,0.485,0.599,-0.085,0.378,1.407,1.244,2.578
2.609,2.477,-1.155,-4.085,1.234,-0.897,1.796,0.876,-7.173,-3.243,-1.667,-0.814,1.481,-0.716,0.776,-1.295,-0.531,-3.537,-7.368,1.234,-3.393,-6.550,-4.823,-1.081,-4.968,-2.329,0.855,-2.695,-4.199,-2.697,-3.020,-0.707,-1.316,5.352,-0.956,-1.310,-0.238,1.777,-0.353
0.622,0.124,2.138,5.235,-0.059,-2.318,-0.841,0.326,3.521,1.208,-0.833,-1.418,-1.642,-1.279,-1.018,-1.584,1.579,-2.520,3.487,-1.488,-0.774,0.307,2.651,-3.016,4.730,0.498,-0.668,2.663,2.235,-0.997,-3.153,-0.357,-0.676,-1.444,-1.713,-0.480,1.043,-1.824,-1.429
-1.721,-1.815,-4.978,-2.222,1.826,0.119,0.142,0.364,-0.031,-2.221,-2.197,0.397,-0.293,-0.268,-0.057,0.139,-2.135,-4.869,-3.048,-3.093,-1.554,-5.317,-0.525,-3.233,-0.988,-1.064,-2.261,-2.582,-3.235,-1.765,1.174,0.342,-3.160,1.193,-2.016,-2.876,-0.486,-2.393,-2.747
-1.869,1.922,-0.904,0.261,-0.297,1.619,-0.438,-1.848,1.756,0.048,2.116,-1.102,-1.044,1.237,0.992,-2.829,1.709,-0.388,1.933,3.249,-3.399,3.825,1.982,3.929,1.709,1.908,0.957,2.329,0.875,0.672,4.562,1.314,-2.769,-1.859,2.892,-0.542,-0.040,-4.254,-2.149
-0.761,-2.645,-3.133,-1.251,-2.679,-1.066,-1.428,-2.483,-2.495,2.119,-7.030,6.817,-2.450,0.608,-2.530,2.397,-1.763,-8.381,-0.846,-2.309,5.526,-8.180,-1.754,-8.626,-0.919,-0.326,-3.183,-1.864,-5.534,0.960,2.564,1.558,-4.737,-4.443,-4.749,-3.342,-3.076,-3.379,1.075
-1.550,-2.480,-1.762,-1.414,-3.465,-4.603,-4.154,-3.714,-4.352,-0.650,-0.332,-4.129,-0.115,-1.878,-2.637,-2.323,-1.975,1.968,-0.522,-6.993,-5.110,-2.071,0.651,-2.045,-3.833,-1.591,-1.687,-0.767,-0.876,-4.845,-3.232,-2.772,-4.284,-3.009,-2.493,-2.252,-6.137,-2.286,-5.863
-1.226,2.422,-4.789,-5.033,-2.184,-4.021,-2.070,-3.095,-3.368,-3.857,5.313,3.694,-2.335,-2.484,0.911,6.155,6.274,5.837,-6.614,2.898,9.395,-1.574,-7.575,3.923,-5.353,1.138,4.798,-5.293,-0.341,7.924,-3.445,-1.368,3.336,-0.603,2.613,5.527,-1.918,-1.467,7.604
-0.978,0.396,-1.082,-3.056,-0.004,0.038,0.036,1.327,-2.019,-1.467,-1.996,-2.696,0.652,2.153,-2.886,-2.642,3.571,-4.081,-1.225,0.993,-4.226,-2.804,0.910,-2.359,-3.641,1.811,3.971,-1.044,-3.987,-0.404,-0.880,0.351,-0.128,-0.781,0.962,0.335,-0.347,-0.227,-1.573
-2.027,4.737,-4.590,-6.355,-0.011,-5.551,-4.759,-3.923,-4.949,-7.424,2.990,1.385,-2.553,-3.982,-2.773,-1.156,3.729,0.215,-6.641,5.241,0.516,-4.080,-6.005,1.398,-3.653,6.233,4.570,-5.682,-3.585,3.773,-3.380,-4.476,4.140,-3.789,4.763,4.627,-3.113,-3.123,4.869
3.430,-3.307,-2.907,-6.158,2.093,0.180,-0.257,1.505,-5.659,-3.882,2.066,1.413,3.846,-3.426,3.167,-2.915,-1.732,-0.631,-1.580,-4.281,-1.690,-2.961,-4.394,1.114,-3.600,-1.718,-1.123,-3.781,-2.782,-3.219,-3.445,-4.354,-4.102,4.191,-2.994,-4.221,3.296,2.785,-3.417
5.260,-6.700,-3.846,-5.522,5.258,2.382,2.792,3.044,-2.661,-6.206,2.789,3.275,8.277,-3.840,5.348,-0.301,-8.080,3.343,-4.319,-5.992,-0.153,-1.974,-4.476,2.642,-3.792,-8.297,-6.900,-1.910,-0.956,-7.085,-1.889,-2.293,-6.313,5.899,-5.934,-5.483,4.696,3.615,-3.265
0.417,1.180,4.135,2.647,1.430,1.269,1.779,-0.029,2.607,3.960,6.694,2.683,-0.509,0.091,0.681,1.805,-0.453,6.442,0.889,0.241,1.905,7.057,1.285,5.791,4.965,-0.257,-1.215,3.029,7.130,1.786,1.445,2.726,0.506,-0.118,2.037,0.916,1.690,1.074,1.914
-1.533,-1.353,2.796,2.693,0.009,-1.731,0.765,-0.007,3.071,2.769,1.301,-2.570,-2.858,-0.206,0.106,0.412,-5.166,2.465,1.943,-6.011,-1.106,2.898,1.275,1.205,1.496,-6.244,-5.781,2.124,3.434,-4.905,0.306,-0.337,-4.552,0.522,-3.545,-3.137,-0.089,-0.030,-4.455
1.804,4.505,-6.003,-6.339,0.502,-2.153,-1.468,1.817,-5.607,-3.181,-3.294,-4.690,1.813,-4.526,2.223,-3.416,2.307,-3.915,-5.082,2.261,-2.760,-7.402,-5.645,-2.895,-3.822,6.386,4.620,-6.570,-6.633,-0.015,-4.455,-4.851,2.669,2.054,3.168,2.467,1.212,2.296,0.993
-3.094,-5.442,-0.219,0.306,1.405,0.940,-2.523,-0.882,-1.046,-1.494,0.668,-1.296,1.824,0.037,1.728,-2.716,-2.990,0.455,-0.744,-1.392,-4.152,1.349,-1.349,1.413,-1.394,-2.762,-4.624,-1.420,-1.736,-3.237,-0.191,-2.714,-3.102,1.166,-5.734,-4.959,-3.434,0.316,-7.418
-1.627,-5.309,1.792,-0.111,-0.603,-2.254,-1.894,-3.557,-0.819,-2.396,-2.246,0.966,-1.365,-1.238,-2.370,-0.618,-8.994,2.003,-2.445,-4.209,2.418,-0.853,1.008,-2.149,1.053,-4.041,-5.743,0.385,-0.628,-2.353,-0.540,-0.674,-6.050,-0.795,-6.283,-4.589,-2.256,-1.031,-6.174
1.389,1.362,-2.356,-1.492,-1.014,1.445,-0.494,-0.008,-2.528,-2.403,-6.037,-1.044,0.298,0.919,-3.348,-0.226,0.782,-7.513,-4.069,0.527,-1.320,-5.769,-1.687,-4.309,-0.737,-2.419,1.431,1.779,-5.717,-0.865,1.536,1.097,-2.005,0.279,0.710,1.364,-0.475,-0.567,0.011
-2.332,-4.100,-3.006,-6.353,-1.031,1.257,-0.101,-3.222,-4.266,-4.121,1.365,-1.045,-2.710,2.059,-0.714,1.972,-4.931,3.100,-7.239,-3.984,0.189,-3.286,-5.005,2.201,-3.138,0.859,-1.962,-4.177,-1.651,-1.500,2.703,3.118,-2.514,-0.950,-4.925,-2.902,-0.801,-0.257,-3.298
1.358,-5.549,3.573,4.178,3.511,2.987,0.714,0.442,3.692,4.874,-1.499,-0.381,0.402,-1.483,3.656,-5.483,-5.895,-3.258,3.121,-1.950,-0.410,0.087,5.133,-5.830,3.248,-4.490,-5.601,4.211,1.836,-5.087,0.997,0.342,-3.833,2.175,-3.579,-7.115,2.967,2.796,-6.197
5.769,-2.388,-1.224,-2.043,4.014,3.737,6.007,4.700,-3.434,0.174,-0.251,1.781,4.515,2.573,2.649,-1.294,1.009,0.231,-0.674,-1.410,-1.424,-1.947,-1.604,3.135,-1.366,-1.555,-4.089,-3.168,0.533,-3.422,0.496,5.157,-1.145,1.637,-3.135,-2.773,1.675,1.727,-0.405
-3.585,2.876,1.102,0.870,-2.602,-3.932,-3.810,-3.298,3.442,1.860,4.379,-2.220,-3.627,-0.789,-4.863,-1.121,3.275,3.520,-0.238,4.847,1.151,1.576,3.443,3.738,2.573,3.179,-0.558,-0.908,6.638,1.529,-0.916,-0.368,3.844,-3.149,4.076,4.151,-4.882,-5.003,3.027
2.228,-0.308,3.081,0.471,1.267,0.387,4.225,2.077,1.418,-0.220,-0.961,-0.567,1.381,1.419,-0.704,-1.436,-1.316,-2.094,-1.160,-1.972,-4.221,0.231,0.089,-1.999,-2.830,0.722,-0.681,-0.170,-2.494,-1.614,3.709,2.487,-2.331,-0.251,-0.427,-0.328,0.972,-2.536,-2.815
1.559,-1.600,-0.560,-0.794,-3.631,-1.654,-1.597,1.177,-0.498,-0.299,0.974,-0.905,-1.594,-0.221,-1.440,4.563,2.119,2.269,-0.633,0.744,0.472,2.051,0.501,3.165,1.713,1.517,2.930,-0.386,0.811,0.922,-3.583,-0.903,2.024,0.705,-1.560,-0.388,-0.541,-0.821,2.318
