顧客_ID,キャンペーン,$LRP-キャンペーン,ゴールドカード
30,1,0.015,0
42,0,0.015,0
74,0,0.009,1
89,0,0.067,0
90,0,0.145,0
112,1,0.000,1
139,0,0.016,0
155,0,0.000,0
156,0,0.015,0
161,0,0.088,1
164,0,0.000,0
181,1,0.132,0
187,0,0.019,0
193,0,0.208,0
203,1,0.015,1
210,0,0.173,0
228,0,0.116,0
236,0,0.239,0
265,0,0.109,0
295,0,0.062,0
53200,0,0.227,0
53226,0,0.263,0
53233,0,0.337,0
53233,0,0.337,0
53237,1,0.000,1
53263,0,0.281,0
53267,0,0.231,0
53271,1,0.331,0
53272,0,0.046,0
53287,0,0.418,0
53300,0,0.049,0
53301,0,0.205,0
53305,1,0.325,0
53311,1,0.304,0
53334,1,0.320,0
53334,0,0.320,0
53363,0,0.419,0
53363,0,0.419,0
53366,0,0.202,0
53373,0,0.386,0
53373,0,0.386,0
53377,0,0.332,0
53384,0,0.604,0
53388,0,0.411,0
53390,0,0.423,0
53416,0,0.490,0
53416,1,0.490,0
53417,0,0.038,0
53421,1,0.525,0
53434,0,0.000,0
53435,0,0.000,0
53458,0,0.410,0
53459,0,0.022,0
53469,0,0.294,0
53476,0,0.273,0
53476,0,0.273,0
53482,0,0.023,0
53487,0,0.270,1
53487,0,0.270,1
53505,0,0.542,0
53519,0,0.067,0
53523,0,0.260,0
53524,0,0.314,0
53528,0,0.062,0
53529,0,0.026,0
53540,0,0.225,0
53545,1,0.000,1
53547,0,0.025,0
53558,0,0.242,0
53570,0,0.346,0
53570,0,0.346,0
53573,0,0.000,0
53586,0,0.041,0
53589,0,0.225,0
53598,0,0.278,0
53598,0,0.278,0
53600,0,0.053,0
53618,1,0.256,0
53619,0,0.039,0
53626,0,0.051,0
53635,0,0.211,0
53636,1,0.382,0
53636,0,0.382,0
53648,0,0.056,0
53649,0,0.000,0
53665,0,0.000,0
53666,1,0.000,1
53674,0,0.287,0
53674,1,0.287,0
53689,0,0.039,0
53692,0,0.000,0
53699,0,0.023,0
53705,0,0.051,0
53714,0,0.308,0
53726,0,0.020,0
53745,0,0.217,0
53745,0,0.217,0
53749,0,0.363,0
53757,1,0.245,0
53770,0,0.040,0
53782,0,0.237,0
53797,0,0.575,0
53798,1,0.000,1
53801,1,0.000,1
53815,0,0.023,0
53821,1,0.375,1
53823,0,0.384,0
53861,0,0.313,0
53864,0,0.000,0
53883,0,0.426,0
53894,0,0.060,0
53917,1,0.476,0
53920,0,0.023,0
53921,0,0.058,0
53956,0,0.457,0
53960,1,0.409,0
53960,0,0.409,0
53976,1,0.309,0
53980,0,0.297,0
53980,0,0.297,0
53981,1,0.190,0
53984,0,0.049,0
53985,0,0.000,0
53992,1,0.402,0
53992,0,0.402,0
53995,0,0.061,0
53998,1,0.291,0
53998,0,0.291,0
54005,0,0.051,0
54008,0,0.054,0
54024,1,0.288,0
54025,0,0.535,0
54031,0,0.211,0
54059,1,0.262,0
54059,0,0.262,0
54068,0,0.322,0
