Time,X,Y,Sensor,Temp,Elev,Humidity,MachineType,Vent
00:00:00,0,0,1,25.430,2.000,0.340,"AIX",0
00:00:00,0,1,2,20.430,1.800,0.450,"Solaris",0
00:00:00,0,2,3,20.340,1.500,0.320,"Win64",0
00:00:00,0,3,4,20.560,1.600,0.560,"Win64",1
00:00:00,0,4,5,20.430,1.700,0.430,"Win32",1
00:00:00,0,5,6,20.500,1.500,0.560,"Solaris",1
00:00:00,0,6,7,20.520,1.600,0.780,"AIX",0
00:00:00,0,7,8,20.540,1.600,0.650,"AIX",1
00:00:00,0,8,9,20.560,1.800,0.450,"Solaris",0
00:00:00,0,9,10,20.580,1.900,0.320,"RedHat",1
00:00:00,1,0,11,20.610,1.800,0.450,"AIX",0
00:00:00,1,1,12,20.630,1.600,0.430,"Solaris",0
00:00:00,1,2,13,20.650,1.800,0.230,"AIX",1
00:00:00,1,3,14,20.670,1.800,0.540,"Solaris",1
00:00:00,1,4,15,20.320,1.500,0.440,"Win64",0
00:00:00,1,5,16,20.140,1.600,0.320,"Win64",0
00:00:00,1,6,17,20.670,1.700,0.120,"Win32",1
00:00:00,1,7,18,20.330,1.500,0.340,"Solaris",1
00:00:00,1,8,19,20.510,1.600,0.540,"AIX",0
00:00:00,1,9,20,20.560,1.600,0.340,"AIX",0
00:00:00,2,0,21,20.620,1.800,0.560,"Solaris",0
00:00:00,2,1,22,20.670,1.900,0.760,"RedHat",1
00:00:00,2,2,23,20.730,1.800,0.450,"AIX",1
00:00:00,2,3,24,20.790,1.600,0.340,"Solaris",1
00:00:00,2,4,25,20.840,1.800,0.530,"AIX",0
00:00:00,2,5,26,20.900,1.800,0.450,"Solaris",1
00:00:00,2,6,27,20.950,1.500,0.320,"Win64",0
00:00:00,2,7,28,21.010,1.600,0.560,"Win64",1
00:00:00,2,8,29,21.070,1.700,0.430,"Win32",0
00:00:00,2,9,30,21.120,1.500,0.560,"Solaris",0
00:00:00,3,0,31,21.180,1.600,0.780,"AIX",1
00:00:00,3,1,32,21.230,1.600,0.650,"AIX",1
00:00:00,3,2,33,21.290,1.800,0.450,"Solaris",0
00:00:00,3,3,34,20.340,1.900,0.320,"RedHat",0
00:00:00,3,4,35,20.560,1.800,0.450,"AIX",1
00:00:00,3,5,36,20.210,1.600,0.430,"Solaris",1
00:00:00,3,6,37,20.220,1.800,0.230,"AIX",0
00:00:00,3,7,38,20.760,1.800,0.540,"Solaris",0
00:00:00,3,8,39,20.110,1.500,0.440,"Win64",0
00:00:00,3,9,40,20.270,1.600,0.320,"Win64",1
00:00:00,4,0,41,20.230,1.700,0.120,"Win32",1
00:00:00,4,1,42,20.200,1.500,0.340,"Solaris",1
00:00:00,4,2,43,20.160,1.600,0.540,"AIX",0
00:00:00,4,3,44,20.130,1.600,0.340,"AIX",1
00:00:00,4,4,45,20.090,1.800,0.560,"Solaris",0
00:00:00,4,5,46,20.060,1.900,0.760,"RedHat",1
00:00:00,4,6,47,20.020,1.800,0.450,"AIX",0
00:00:00,4,7,48,20.440,1.600,0.340,"Solaris",0
00:00:00,4,8,49,20.130,1.800,0.530,"AIX",1
00:00:00,4,9,50,20.250,1.600,0.450,"Solaris",1
00:00:00,5,0,51,20.650,1.800,0.320,"Win64",0
00:00:00,5,1,52,20.370,1.500,0.560,"Win64",0
00:00:00,5,2,53,20.560,1.600,0.430,"Win32",1
00:00:00,5,3,54,20.630,1.700,0.560,"Solaris",1
00:00:00,5,4,55,20.700,1.500,0.780,"AIX",0
00:00:00,5,5,56,20.780,1.600,0.650,"AIX",0
00:00:00,5,6,57,20.850,1.600,0.450,"Solaris",0
00:00:00,5,7,58,20.920,1.800,0.320,"RedHat",1
00:00:00,5,8,59,20.430,1.900,0.450,"AIX",1
00:00:00,5,9,60,20.110,1.800,0.430,"Solaris",1
00:00:00,6,0,61,20.130,1.600,0.230,"AIX",0
00:00:00,6,1,62,20.150,1.800,0.540,"Solaris",1
00:00:00,6,2,63,20.170,1.500,0.440,"Win64",0
00:00:00,6,3,64,20.190,1.600,0.320,"Win64",1
00:00:00,6,4,65,20.210,1.700,0.120,"Win32",0
00:00:00,6,5,66,20.230,1.500,0.340,"Solaris",0
00:00:00,6,6,67,20.250,1.600,0.540,"AIX",1
00:00:00,6,7,68,20.270,1.600,0.340,"AIX",1
00:00:00,6,8,69,20.290,1.800,0.560,"Solaris",0
00:00:00,6,9,70,20.310,1.900,0.760,"RedHat",0
00:00:00,7,0,71,20.330,1.800,0.450,"AIX",1
00:00:00,7,1,72,20.350,1.600,0.340,"Solaris",1
00:00:00,7,2,73,20.370,1.800,0.530,"AIX",0
00:00:00,7,3,74,20.390,1.600,0.450,"Solaris",0
00:00:00,7,4,75,20.410,1.800,0.320,"Win64",0
00:00:00,7,5,76,20.430,1.500,0.560,"Win64",1
00:00:00,7,6,77,20.450,1.600,0.430,"Win32",1
00:00:00,7,7,78,20.470,1.700,0.560,"Solaris",1
00:00:00,7,8,79,20.490,1.500,0.780,"AIX",0
00:00:00,7,9,80,20.510,1.600,0.650,"AIX",1
