顧客番号,性別,年齢,プラン区分,通信区分,入会チャネル,インターネット,発話時間,総通話時間,メール,通信量変化,入会後年数,パケット,解約フラグ
103653,"男性",24,"プランC","タイプ02","AA","ない",91,220,1,"up",7,1,1
110127,"男性",34,"プランB","タイプ01","AA","ない",165,397,3,"stable",4,11,0
125827,"男性",36,"プランB","タイプ01","AA","ない",184,443,2,"down",4,8,0
128421,"男性",42,"プランC","タイプ02","AA","ある",0,409,3,"stable",8,4,1
130343,"男性",28,"プランB","タイプ01","AA","ない",0,211,1,"up",7,3,1
136008,"男性",21,"プランC","タイプ02","AA","ある",418,528,3,"down",8,2,0
142704,"女性",30,"プランA","タイプ01","AA","ない",112,271,2,"stable",18,10,0
145330,"男性",28,"プランB","タイプ01","AA","ない",196,471,3,"stable",2,5,0
150834,"女性",36,"プランA","タイプ01","AA","ない",262,371,36,"stable",9,4,0
159509,"男性",40,"プランB","タイプ01","AA","ない",119,287,2,"up",2,11,0
159907,"男性",20,"プランC","タイプ02","AA","ある",176,424,20,"stable",3,1,0
173745,"男性",41,"プランB","タイプ01","AA","ある",197,479,4,"stable",6,11,0
185804,"男性",22,"プランB","タイプ01","AA","ある",166,399,6,"stable",12,0,0
189275,"男性",18,"プランC","タイプ02","AA","ない",367,161,1,"up",11,2,1
194563,"男性",36,"プランB","タイプ01","AA","ない",167,401,3,"stable",3,4,0
201317,"男性",38,"プランB","タイプ01","AA","ない",1395,464,2,"stable",6,3,0
202340,"男性",21,"プランC","タイプ02","AA","ない",703,421,4,"down",1,0,0
209485,"男性",44,"プランB","タイプ01","AA","ある",0,651,6,"down",3,7,0
210178,"男性",34,"プランB","タイプ01","AA","ない",213,513,4,"stable",10,10,0
210178,"男性",34,"プランB","タイプ01","AA","ない",213,513,4,"stable",10,10,0
210178,"男性",31,"プランB","タイプ01","AA","ない",53,466,5,"stable",18,6,0
210178,"男性",31,"プランB","タイプ01","AA","ない",53,466,5,"stable",18,6,0
214649,"女性",19,"プランA","タイプ01","AA","ない",89,215,3,"up",12,0,1
238189,"男性",27,"プランC","タイプ02","AA","ない",82,198,1,"up",9,8,1
242806,"男性",26,"プランB","タイプ01","AA","ある",260,626,5,"down",7,0,0
245593,"男性",42,"プランC","タイプ02","AA","ある",0,409,3,"stable",8,4,1
246658,"男性",28,"プランB","タイプ01","AA","ない",65,158,1,"up",12,5,1
255039,"男性",40,"プランB","タイプ01","AA","ない",646,448,1,"down",1,5,0
265034,"男性",21,"プランC","タイプ02","AA","ない",162,390,4,"stable",10,0,0
267578,"男性",37,"プランB","タイプ01","AA","ない",143,344,6,"stable",15,3,0
268047,"男性",24,"プランB","タイプ01","AA","ない",114,274,3,"up",5,0,0
284022,"男性",30,"プランB","タイプ01","BB","ない",171,412,0,"stable",0,3,1
288984,"男性",50,"プランB","タイプ01","AA","ない",174,418,30,"stable",7,11,0
294843,"女性",38,"プランA","タイプ01","AA","ない",179,430,4,"up",4,5,0
295673,"男性",28,"プランB","タイプ01","AA","ない",196,471,3,"stable",2,5,0
299691,"女性",18,"プランA","タイプ01","AA","ない",127,307,3,"up",5,2,0
305010,"男性",20,"プランC","タイプ02","AA","ある",102,245,3,"up",8,2,0
327211,"女性",24,"プランA","タイプ01","AA","ある",0,264,24,"up",7,6,0
337822,"女性",36,"プランA","タイプ01","AA","ない",262,371,36,"stable",9,4,0
340944,"男性",59,"プランB","タイプ01","BB","ない",365,877,6,"instable",7,6,0
355976,"男性",47,"プランB","タイプ01","AA","ない",217,521,2,"down",6,8,0
356078,"男性",32,"プランB","タイプ01","AA","ない",277,276,2,"stable",4,5,0
369702,"男性",42,"プランC","タイプ02","AA","ある",0,409,3,"stable",8,4,1
370024,"女性",21,"プランA","タイプ01","AA","ない",141,339,2,"stable",4,3,0
381403,"女性",19,"プランA","タイプ01","AA","ない",624,397,4,"stable",4,0,0
396196,"男性",23,"プランB","タイプ01","BB","ない",0,403,0,"stable",10,4,1
396981,"男性",59,"プランB","タイプ01","BB","ない",365,877,6,"instable",7,6,0
400620,"男性",27,"プランC","タイプ02","AA","ない",79,191,2,"up",6,3,1
404322,"男性",35,"プランB","タイプ01","AA","ある",228,549,35,"down",6,10,0
417982,"女性",20,"プランA","タイプ01","AA","ない",0,411,3,"stable",0,2,0
422650,"男性",40,"プランB","タイプ01","AA","ない",646,448,1,"down",1,5,0
425967,"男性",45,"プランB","タイプ01","BB","ない",377,906,2,"instable",10,8,0
429096,"女性",30,"プランA","タイプ01","AA","ない",112,271,2,"stable",18,10,0
434454,"男性",26,"プランC","タイプ02","AA","ある",295,321,26,"stable",7,4,0
445751,"男性",18,"プランB","タイプ01","AA","ある",155,372,3,"stable",1,0,0
446644,"男性",21,"プランC","タイプ02","BB","ない",118,407,0,"stable",1,0,1
456344,"男性",29,"プランB","タイプ01","AA","ない",122,295,1,"stable",4,3,0
465112,"男性",68,"プランB","タイプ01","AA","ある",328,789,4,"down",10,11,0
467489,"女性",23,"プランA","タイプ01","AA","ない",0,550,7,"stable",6,4,0
470300,"男性",28,"プランB","タイプ01","AA","ない",598,234,2,"up",5,3,0
470781,"男性",37,"プランB","タイプ01","AA","ない",197,473,37,"stable",9,6,0
472875,"男性",37,"プランB","タイプ01","AA","ない",143,344,6,"stable",15,3,0
474501,"男性",21,"プランC","タイプ02","AA","ない",1409,378,2,"stable",5,1,0
478269,"男性",34,"プランB","タイプ01","AA","ある",197,474,4,"stable",5,7,0
479669,"男性",36,"プランB","タイプ01","AA","ない",268,644,36,"down",13,5,0
479904,"男性",20,"プランC","タイプ02","AA","ない",180,433,3,"stable",0,0,0
482172,"男性",35,"プランB","タイプ01","AA","ない",614,455,1,"down",2,8,0
484805,"男性",21,"プランC","タイプ02","AA","ある",348,338,6,"stable",4,0,0
487201,"男性",50,"プランB","タイプ01","AA","ない",189,454,5,"down",6,10,0
488581,"男性",24,"プランB","タイプ01","AA","ない",219,527,8,"stable",2,3,0
497421,"男性",35,"プランB","タイプ01","AA","ない",0,588,1,"down",6,5,0
498202,"男性",28,"プランB","タイプ01","AA","ない",147,353,2,"stable",5,5,0
499241,"男性",45,"プランB","タイプ01","AA","ない",242,582,7,"down",2,6,0
502664,"男性",25,"プランC","タイプ02","AA","ない",147,353,4,"stable",4,3,0
508779,"男性",32,"プランB","タイプ01","AA","ある",170,410,32,"stable",8,7,0
523670,"男性",54,"プランB","タイプ01","AA","ない",460,601,34,"down",11,10,0
541793,"男性",60,"プランB","タイプ01","AA","ない",2473,827,2,"instable",4,7,0
545264,"女性",32,"プランA","タイプ01","AA","ない",130,313,32,"stable",2,6,0
547440,"男性",20,"プランC","タイプ02","AA","ある",144,346,20,"stable",3,2,0
554912,"男性",35,"プランB","タイプ01","AA","ない",155,372,35,"stable",2,3,0
555132,"男性",25,"プランB","タイプ01","AA","ない",153,368,7,"stable",4,5,0
571647,"男性",26,"プランB","タイプ01","AA","ない",130,314,26,"stable",1,7,0
573078,"男性",48,"プランB","タイプ01","AA","ない",1120,888,3,"instable",5,12,0
573305,"男性",23,"プランB","タイプ01","AA","ない",168,404,23,"stable",10,0,0
573780,"女性",32,"プランA","タイプ01","AA","ない",130,313,32,"stable",2,6,0
577186,"男性",25,"プランC","タイプ02","AA","ある",524,199,22,"up",0,4,1
578404,"男性",34,"プランB","タイプ01","AA","ある",197,474,34,"stable",15,10,0
